bigrama,tfidf_falso,tfidf_verdadeiro,diferenca,classe,categoria
redes sociais,0.00797499391133214,0.0030497606654083863,0.004925233245923753,Falsa,Mídia e redes sociais
leia tambem,0.004771156710506946,0.0001564530193689889,0.004614703691137957,Falsa,Linguagem editorial
sergio moro,0.00987286441094404,0.005592215552262748,0.004280648858681292,Falsa,Política
diario brasil,0.0032179898653361748,0.0,0.0032179898653361748,Falsa,Mídia e redes sociais
video abaixo,0.003084288165475072,0.00017414937637064156,0.0029101387891044307,Falsa,Linguagem editorial
eduardo cunha,0.005319941478326617,0.002748714195103545,0.002571227283223072,Falsa,Política
rede globo,0.002549984786314627,0.0001226886178811563,0.002427296168433471,Falsa,Mídia e redes sociais
manha hoje,0.002405592119268125,7.694240584928451e-05,0.0023286497134188404,Falsa,Temporal
dinheiro publico,0.002753777162559401,0.000544031126284733,0.002209746036274668,Falsa,Economia/gestão pública
dilma rousseff,0.006481043572748142,0.00430453374622115,0.002176509826526992,Falsa,Política
ultimo dia,0.002986934560053838,0.0009414872257475303,0.0020454473343063076,Falsa,Temporal
globo news,0.002045006145498116,0.0,0.002045006145498116,Falsa,Mídia e redes sociais
povo brasileiro,0.0022821229492683472,0.00024179962137556475,0.0020403233278927825,Falsa,Política/sociedade
dilma nao,0.0020010368942803038,0.00010235254060979442,0.0018986843536705094,Falsa,Política
kim jon,0.0019466889310904847,5.183773996459597e-05,0.0018948511911258887,Falsa,Política/internacional
quarta feira,0.0009818432171680622,0.009886546015030655,-0.008904702797862592,Verdadeira,Temporal
terca feira,0.0008532754071241301,0.00872104716289992,-0.00786777175577579,Verdadeira,Temporal
quinta feira,0.001158004162867049,0.008485101868127934,-0.007327097705260886,Verdadeira,Temporal
nesta quarta,0.00027217025990698766,0.00723114902880963,-0.006958978768902642,Verdadeira,Temporal
segunda feira,0.0012485663141718888,0.008057058886460857,-0.006808492572288968,Verdadeira,Temporal
nesta terca,0.0002788982413858669,0.00669451181601742,-0.006415613574631553,Verdadeira,Temporal
sexta feira,0.0014393277865294982,0.0077920894283440975,-0.006352761641814599,Verdadeira,Temporal
tribunal federal,0.0018189020814236073,0.0077260844127783,-0.005907182331354692,Verdadeira,Institucional
supremo tribunal,0.001897838962789288,0.0077395653548049505,-0.005841726392015662,Verdadeira,Institucional
nesta quinta,0.0003797100324458014,0.005944528691175419,-0.005564818658729618,Verdadeira,Temporal
inacio lula,0.0020264418356426635,0.007303726005686179,-0.005277284170043516,Verdadeira,Política
nesta segunda,0.00039005061058701185,0.005349947153055016,-0.004959896542468004,Verdadeira,Temporal
presidente luiz,0.0013918149757869125,0.006201108051851765,-0.004809293076064853,Verdadeira,Política
federal stf,0.0006430071987004109,0.005399888652468161,-0.00475688145376775,Verdadeira,Institucional
sao paulo,0.005660183344007316,0.010374142175901718,-0.004713958831894402,Verdadeira,Geográfico
