termo,peso
nesta,3.4297841418655244
feira,3.16056453824065
mas,2.9708194407492585
diz,2.4991533561415675
segundo,2.2039272900269715
em,1.8218011345165313
terca,1.7810059953621447
g1,1.7665371711547533
quarta,1.5946295368317989
sobre,1.537981483347821
2017,1.471422134269925
terca feira,1.4239968270321557
quarta feira,1.3384871653501111
nesta terca,1.2906051846006483
domingo,1.2892517441301758
quinta,1.2638490353628047
tribunal,1.2439572945146273
tres,1.241578800855649
nesta quarta,1.236784854152121
ano,1.22161644911777
federal stf,1.1583481846224335
tribunal federal,1.1581166073410853
segunda,1.1538125447961731
no,1.146220032187135
supremo tribunal,1.1107194143897694
inacio lula,1.1088883003209433
regiao,1.0863303299542306
nesta quinta,1.0802735207570862
como,1.0768006762742075
bbc,1.0497775676148222
