termo,peso
disse,-2.434373980005712
dilma,-2.305378852942271
lula,-2.297092782289252
atraves,-1.7805324129170403
esta,-1.7515044777033193
hoje,-1.7252789634090568
podera,-1.6540133821895908
durante,-1.5301628329757622
foi,-1.480739430191203
de hoje,-1.472669518052662
informou,-1.406233526376977
materia,-1.3862938900864736
tambem,-1.3775944831785134
esposa,-1.3696779342147145
acordo com,-1.357234901970543
video,-1.3427603080098656
fonte,-1.3149006455688477
informacoes,-1.3091070127155813
um,-1.305237361063043
de acordo,-1.2964474359119516
leia tambem,-1.2951527081229413
globo,-1.2483832002221888
sera,-1.2464655436602776
de lula,-1.2205746401887276
site,-1.1648199040527896
uma,-1.1630542888932311
jornal,-1.153191936138731
nao,-1.142210840071819
ontem,-1.1273965608148848
possui,-1.0984523518126126
