bigrama,tfidf_falso,tfidf_verdadeiro,diferenca
00 43,2.7067897724310396e-05,0.0,2.7067897724310396e-05
00 absolutamente,2.7067897724310396e-05,0.0,2.7067897724310396e-05
00 ate,9.703651673523615e-05,0.0,9.703651673523615e-05
00 audio,9.324077066998952e-05,0.0,9.324077066998952e-05
00 cem,7.08612478827177e-05,0.0,7.08612478827177e-05
00 cirque,8.104464403940749e-05,0.0,8.104464403940749e-05
00 horas,0.0001023580887185,0.0,0.0001023580887185
00 hs,0.0003299487229122,0.0,0.0003299487229122
00 ministros,5.622270340641425e-05,0.0,5.622270340641425e-05
00 segundo,8.604171166458593e-05,0.0,8.604171166458593e-05
00 valor,6.509177307550188e-05,4.282213932429431e-05,2.2269633751207573e-05
00 video,0.0001006883360333,0.0,0.0001006883360333
000 00,0.0004649898595639,7.109770174837661e-05,0.0003938921578156
000 000,0.0003327393575418,3.1084811472138646e-05,0.0003016545460696
000 cidadaos,8.016427179835368e-05,0.0,8.016427179835368e-05
000 dolares,0.0002208087879323,0.0,0.0002208087879323
000 homicidios,5.0471221368470286e-05,3.719308635773121e-05,1.3278135010739077e-05
000 km,0.0002357596971668,0.0001747600170785,6.0999680088329866e-05
000 mes,8.6930471455979e-05,0.0,8.6930471455979e-05
000 pessoas,0.0003117423092973,2.620836225313817e-05,0.0002855339470442
000 reais,0.0003141600131105,0.0,0.0003141600131105
000 relacao,5.720081040535441e-05,0.0,5.720081040535441e-05
000 soldados,0.0001051601884464,0.0,0.0001051601884464
002 pessoas,9.169406315407448e-05,0.0,9.169406315407448e-05
007 servico,6.674871778580092e-05,0.0,6.674871778580092e-05
01022011 31,0.0,6.797050609627384e-05,-6.797050609627384e-05
02 milhao,0.0,4.835789970080565e-05,-4.835789970080565e-05
03 06,3.6767646908713245e-05,3.2101871235620096e-05,4.6657756730931495e-06
03 kim,7.382734175205298e-05,0.0,7.382734175205298e-05
03 marcelo,6.890742296051089e-05,0.0,6.890742296051089e-05
03 rj,6.616300089928916e-05,0.0,6.616300089928916e-05
03012017 marisa,0.0,6.797050609627384e-05,-6.797050609627384e-05
04 2015,6.336011604058338e-05,0.0,6.336011604058338e-05
04 numero,5.720081040535441e-05,0.0,5.720081040535441e-05
042 279,0.0,0.0001122276456119,-0.0001122276456119
05 06,3.106479544621814e-05,4.371575203129677e-05,-1.2650956585078628e-05
06 10,3.6767646908713245e-05,3.2101871235620096e-05,4.6657756730931495e-06
06 justica,5.720081040535441e-05,0.0,5.720081040535441e-05
07 acordo,8.579718310256614e-05,0.0,8.579718310256614e-05
08 dezembro,9.286629302725552e-05,0.0,9.286629302725552e-05
08 janeiro,4.281997996736084e-05,5.564153081344342e-05,-1.2821550846082586e-05
09 jornalista,0.0001051492038025,0.0,0.0001051492038025
0h desta,2.844145635982363e-05,5.5482179153839165e-05,-2.7040722794015536e-05
10 00,0.0001138531970042,0.0,0.0001138531970042
10 000,0.0002925876642414,0.0001838128742762,0.0001087747899652
10 11,0.0,8.816231019191724e-05,-8.816231019191724e-05
10 15,3.884102176543036e-05,2.4884609311670127e-05,1.3956412453760236e-05
10 17,3.6767646908713245e-05,3.2101871235620096e-05,4.6657756730931495e-06
10 20,7.953102479665253e-05,4.95456940014845e-05,2.998533079516803e-05
10 2013,6.306758299950197e-05,0.0,6.306758299950197e-05
10 30,0.000130601478194,0.0,0.000130601478194
10 40,7.457802579570745e-05,0.0,7.457802579570745e-05
10 683,9.005465849525488e-05,0.0,9.005465849525488e-05
10 abril,4.550672524619573e-05,0.000112281364367,-6.677463912088479e-05
10 agosto,0.0,0.0001559917150812,-0.0001559917150812
10 ainda,5.094558108070792e-05,7.521144528274684e-05,-2.426586420203892e-05
10 anos,0.0005865640829113,0.0009467042697097,-0.0003601401867983
10 audiencia,5.105916094603342e-05,3.708313381684082e-05,1.39760271291926e-05
10 base,6.925001048335975e-05,4.471657724376295e-05,2.4533433239596803e-05
10 bilhoes,0.0001544699767108,0.0003421588955272,-0.0001876889188164
10 brasileiros,0.0002072355060607,0.0,0.0002072355060607
10 camara,0.0,0.0001001133386582,-0.0001001133386582
10 cidades,0.0,0.000137841585201,-0.000137841585201
10 curitiba,0.0,0.0001199441697063,-0.0001199441697063
10 delacoes,7.002750041229893e-05,0.0,7.002750041229893e-05
10 dias,0.0004196676477795,0.000214252249792,0.0002054153979874
10 estao,7.257399459206261e-05,0.0,7.257399459206261e-05
10 ex,0.0,8.072774525407072e-05,-8.072774525407072e-05
10 favor,5.936147998410453e-05,5.056677676435947e-05,8.79470321974506e-06
10 governo,4.093909908990095e-05,3.8307411080787565e-05,2.631688009113388e-06
10 horas,0.0002565468309851,0.0001019700267406,0.0001545768042445
10 janeiro,0.0,0.0001449614804704,-0.0001449614804704
10 juiz,4.865613647110919e-05,8.345552719927005e-05,-3.4799390728160855e-05
10 junho,0.0001038892975138,0.0,0.0001038892975138
10 maio,4.042608481544853e-05,0.0002247641835982,-0.0001843380987828
10 maiores,0.0,0.0001147848230005,-0.0001147848230005
10 marco,9.765058853622864e-05,4.443377177519841e-05,5.321681676103023e-05
10 medidas,0.0004541355624607,2.758249226933132e-05,0.0004265530701914
10 mensagem,7.986840029807233e-05,0.0,7.986840029807233e-05
10 meses,0.0001660047937233,0.0002835374968994,-0.000117532703176
10 mil,0.0005730948373883,0.0007606882281522,-0.0001875933907638
10 milhoes,0.0007831849219337,0.0006084066922466,0.000174778229687
10 min,0.0001162117956315,0.0,0.0001162117956315
10 ministros,3.869146592014653e-05,5.4252267927897216e-05,-1.5560802007750684e-05
10 noite,5.2117006131254754e-05,4.543140094407162e-05,6.6856051871831305e-06
10 novembro,0.0,8.38242330449606e-05,-8.38242330449606e-05
10 outubro,8.252969151531201e-05,7.09916132663178e-05,1.1538078248994209e-05
10 paises,8.149790104017339e-05,0.0,8.149790104017339e-05
10 perguntas,0.0,5.907100979586381e-05,-5.907100979586381e-05
10 pessoas,7.270015696243294e-05,7.612129110723089e-05,-3.421134144797951e-06
10 planeja,0.0,7.125968556928563e-05,-7.125968556928563e-05
10 policia,0.0,6.071270527163416e-05,-6.071270527163416e-05
10 sao,4.454666561939783e-05,7.261594838459007e-05,-2.8069282765192237e-05
10 segundo,2.5575588460459704e-05,0.0001000711905076,-7.449560204720554e-05
10 segundos,0.000250240595981,0.0,0.000250240595981
10 tentar,0.0,9.284209115733858e-05,-9.284209115733858e-05
10 total,3.1296171073083935e-05,4.812418044968619e-05,-1.6828009376602253e-05
10 vara,3.460958233076547e-05,0.0002663805126904,-0.0002317709303596
10 video,0.0002022713883884,0.0,0.0002022713883884
10 votos,0.0001194109595197,5.91948773327018e-05,6.021608218709244e-05
100 00,7.416368485725501e-05,0.0,7.416368485725501e-05
100 000,0.0002753581223022,0.0,0.0002753581223022
100 anos,0.0002886757629299,0.0002747855479473,1.389021498256367e-05
100 bilhoes,0.0,8.399659655082367e-05,-8.399659655082367e-05
100 brasileira,0.0,0.0001087180157815,-0.0001087180157815
100 cento,5.410896035200415e-05,3.293899521834966e-05,2.1169965133654487e-05
100 detentos,0.0,9.83907353338479e-05,-9.83907353338479e-05
100 dias,4.459043967713293e-05,0.0001861837581136,-0.0001415933184365
100 euros,8.963538499068898e-05,0.0,8.963538499068898e-05
100 feridos,0.0,0.0001153558832307,-0.0001153558832307
100 km,8.922457866703589e-05,0.0,8.922457866703589e-05
100 maiores,3.724463033435103e-05,3.929658047141469e-05,-2.051950137063656e-06
100 metros,0.0001377518051389,4.566462917166264e-05,9.208717596733624e-05
100 mil,0.0011145951172929,0.0004399464901247,0.0006746486271682
100 milhoes,0.0009461647214428,0.0002595787045629,0.0006865860168799
100 novos,0.0,4.5537102295587766e-05,-4.5537102295587766e-05
100 pessoas,0.0001083544120193,3.15906707506252e-05,7.676374126871545e-05
100 presenca,9.19249771540691e-05,0.0,9.19249771540691e-05
100 primeiros,0.0,9.556583826706222e-05,-9.556583826706222e-05
100 quilometros,0.0,9.107419925939895e-05,-9.107419925939895e-05
100 territorio,7.347569063946791e-05,0.0,7.347569063946791e-05
1000 pes,5.5566154660247774e-05,0.0,5.5566154660247774e-05
102 105,0.0001683153842417,0.0,0.0001683153842417
102 milhoes,0.0001405511968679,3.3170525753151283e-05,0.0001073806711147
102013 visa,8.735663959626454e-05,0.0,8.735663959626454e-05
103 bilhoes,0.0,0.0001137652078069,-0.0001137652078069
105 108,0.0001683153842417,0.0,0.0001683153842417
106 buzios,6.616300089928916e-05,0.0,6.616300089928916e-05
107 manha,0.0,0.0001122230234978,-0.0001122230234978
107 quarta,0.0,0.0006502875044878,-0.0006502875044878
107 quinta,0.0,0.0005765534489745,-0.0005765534489745
107 segunda,0.0,0.0006577678426479,-0.0006577678426479
107 sexta,0.0,0.000700374925155,-0.000700374925155
107 terca,0.0,0.0006946427047442,-0.0006946427047442
108 125,0.0001683153842417,0.0,0.0001683153842417
10h depoimento,0.0,9.290581378635e-05,-9.290581378635e-05
10h30 desta,0.0,7.733306752334258e-05,-7.733306752334258e-05
10ª vara,0.0003751031175153,0.0008425736129695,-0.0004674704954541
11 00,7.980387532527583e-05,0.0,7.980387532527583e-05
11 14,0.0,0.0001391484893862,-0.0001391484893862
11 16,3.874709187526553e-05,5.034439235053869e-05,-1.1597300475273166e-05
11 19,2.7067897724310396e-05,0.0,2.7067897724310396e-05
11 46,2.7067897724310396e-05,0.0,2.7067897724310396e-05
11 abril,2.5499531312175484e-05,8.677765001537792e-05,-6.127811870320244e-05
11 anos,0.0003461362893912,0.0006879853933437,-0.0003418491039524
11 bilhoes,6.688742718236791e-05,8.80324471243329e-05,-2.1145019941964992e-05
11 canais,5.842036164482669e-05,7.614904788162478e-05,-1.772868623679809e-05
11 cerca,2.9463721720219014e-05,4.347808461669372e-05,-1.40143628964747e-05
11 ciro,0.0,5.215947030339025e-05,-5.215947030339025e-05
11 deputado,4.731412294838901e-05,5.168030209810186e-05,-4.366179149712851e-06
11 dezembro,9.87704032451905e-05,2.980521275840612e-05,6.896519048678437e-05
11 durante,4.979627346232493e-05,5.123452282677058e-05,-1.4382493644456528e-06
11 horas,8.121076739181786e-05,8.878371371368014e-05,-7.572946321862277e-06
11 informando,6.496762110321295e-05,0.0,6.496762110321295e-05
11 inqueritos,4.819653003552051e-05,4.508843146203032e-05,3.1080985734901887e-06
11 julho,0.0,0.0001542572877932,-0.0001542572877932
11 maio,4.06064317250954e-05,0.0001578124216082,-0.0001172059898831
11 mandados,0.0,6.971355371604471e-05,-6.971355371604471e-05
11 marco,8.557272984126957e-05,0.000131074715083,-4.550198524173849e-05
11 meses,0.0001089247217393,7.880519877944347e-05,3.0119522959879232e-05
11 mil,0.0002583596501212,7.605064505993272e-05,0.0001823090050613
11 milhoes,0.0005781363845201,0.0003209440644497,0.0002571923200703
11 ministros,3.401332217610382e-05,0.0003244987996436,-0.0002904854774675
11 mortes,0.0,8.422407675646667e-05,-8.422407675646667e-05
11 outubro,0.0,0.0002001679899844,-0.0002001679899844
11 paises,0.0,0.00014610765592,-0.00014610765592
11 partido,0.0,3.871089396200136e-05,-3.871089396200136e-05
11 pessoas,0.0001028302412243,0.0001471508981575,-4.43206569332507e-05
11 policia,2.6782090301677623e-05,4.8760655967743246e-05,-2.197856566606562e-05
11 politicos,7.902173701423484e-05,3.115851966080408e-05,4.786321735343076e-05
11 sao,5.483491051535776e-05,3.983798966104551e-05,1.4996920854312249e-05
11 setembro,0.0003023222844592,0.0003851774065099,-8.285512205079211e-05
11 videos,0.0,6.661560749278523e-05,-6.661560749278523e-05
110 mil,0.0,0.0001238127870207,-0.0001238127870207
110 pessoas,3.9603356975348987e-05,2.466863546600656e-05,1.4934721509342424e-05
113 milhoes,2.4830961175768708e-05,4.3909371351032765e-05,-1.9078410175264057e-05
115 mil,5.1811623461618414e-05,3.1614777546906404e-05,2.019684591471201e-05
12 15,5.9279699520045295e-05,4.410440705733335e-05,1.517529246271195e-05
12 30,0.0,7.725619361969042e-05,-7.725619361969042e-05
12 422,0.0,0.0001035283275791,-0.0001035283275791
12 8502013,3.4302443487499496e-05,3.764303744907388e-05,-3.340593961574388e-06
12 abril,2.636301454407413e-05,3.187250152073082e-05,-5.509486976656683e-06
12 anos,0.0006332149054913,0.0017690947867744,-0.0011358798812831
12 apos,0.0,0.0001284919693008,-0.0001284919693008
12 bilhoes,0.0002696303465082,9.904844148406032e-05,0.0001705819050242
12 brasilia,9.281014414707584e-05,0.0,9.281014414707584e-05
